,Dates,AUDNZD,EURCHF,AUDJPY,AUDSGD,EURAUD,EURJPY,EURNZD,EURSGD,GBPAUD,GBPCAD,GBPCHF,GBPNZD,NZDCAD,NZDJPY,SGDJPY,NZDUSD,AUDUSD,USDCHF,USDJPY,GBPUSD,EURUSD,USDCAD,USDSGD
151,05.07.2017,,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,,,1.0,
152,06.07.2017,1.0,1.0,1.0,,1.0,,,1.0,,,1.0,,1.0,,,,1.0,1.0,,,,,1.0
153,07.07.2017,1.0,,1.0,,1.0,,1.0,1.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
154,08.07.2017,,,,,,,,,,,,,,,,,,,,,,,
155,10.07.2017,,,,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,1.0,
156,11.07.2017,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,1.0,,1.0
157,12.07.2017,,1.0,1.0,,1.0,,,1.0,,,,,1.0,,,1.0,,,,,1.0,1.0,
158,13.07.2017,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,,,,,
159,14.07.2017,1.0,,,,,,1.0,1.0,,,,1.0,,1.0,1.0,1.0,,,1.0,,1.0,,1.0
160,15.07.2017,,,,,,,,,,,,,,,,,,,,,,,
161,17.07.2017,,1.0,1.0,,1.0,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
162,18.07.2017,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,,1.0,1.0,,1.0,1.0,,,
163,19.07.2017,,,,,,,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,,1.0
164,20.07.2017,,1.0,,1.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0
165,21.07.2017,,,,,,,,,1.0,1.0,,,,,1.0,,,,1.0,1.0,,,
166,22.07.2017,,,,,,,,,,,,,,,,,,,,,,,
167,24.07.2017,1.0,,,1.0,,,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,,,1.0,,
168,25.07.2017,,,,,1.0,1.0,,1.0,1.0,,,,,,,,1.0,,,1.0,1.0,,
169,26.07.2017,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,,,,1.0,1.0,1.0
170,27.07.2017,1.0,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,
171,28.07.2017,1.0,,,1.0,1.0,,1.0,1.0,,,,1.0,1.0,,,,1.0,,1.0,,1.0,1.0,1.0
172,29.07.2017,,,,,,,,,,,,,,,,,,,,,,,
173,31.07.2017,,1.0,,,,,1.0,1.0,,1.0,1.0,,1.0,,,1.0,1.0,1.0,,1.0,,1.0,
174,01.08.2017,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,1.0,,,1.0,1.0
175,02.08.2017,,,,,,,,,,,1.0,,,,1.0,,,1.0,,1.0,1.0,,
176,03.08.2017,1.0,1.0,,,,1.0,,,1.0,,1.0,1.0,,,,,,1.0,1.0,,,,
177,04.08.2017,1.0,1.0,1.0,,,1.0,,1.0,,,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0
178,05.08.2017,,,,,,,,,,,,,,,,,,,,,,,
179,07.08.2017,,1.0,1.0,,1.0,,,1.0,,1.0,1.0,,,1.0,,,,1.0,,1.0,,,
